20459y09	ERS1139794	ERR1399784
20649Y09	ERS1139802	ERR1399792
20831y09	ERS1139810	ERR1399800
20958Y09	ERS1139814	ERR1399804
21045y09	ERS1139819	ERR1399809
21063Y09	ERS1139820	ERR1399810
21077y09	ERS1139821	ERR1399811
21160Y09	ERS1139826	ERR1399816
21232y09	ERS1139832	ERR1399822
21233y09	ERS1139833	ERR1399823
21305Y09	ERS1139839	ERR1399829
21313Y09	ERS1139840	ERR1399830
21340Y09	ERS1139842	ERR1399832
21359Y09	ERS1139843	ERR1399833
21604y09	ERS1139857	ERR1399847
21705y09	ERS1139864	ERR1399854
21718y09	ERS1139865	ERR1399855
21724y09	ERS1139866	ERR1399856
21731y09	ERS1139867	ERR1399857
21781Y09	ERS1139872	ERR1399862
21878y09	ERS1139879	ERR1399869
22006y09	ERS1139887	ERR1399877
22143Y09	ERS1139895	ERR1399885
22144Y09	ERS1139896	ERR1399886
22164y09	ERS1139898	ERR1399888
22172y09	ERS1139899	ERR1399889
22333y09	ERS1139911	ERR1399901
22501y09	ERS1139918	ERR1399908
22569y09	ERS1139920	ERR1399910
22600y09	ERS1139923	ERR1399913
22646y09	ERS1139925	ERR1399915
22700y09	ERS1139930	ERR1399920
22740y09	ERS1139932	ERR1399922
22758y09	ERS1139933	ERR1399923
22811y09	ERS1139935	ERR1399925
22818y09	ERS1139936	ERR1399926
22908y09	ERS1139941	ERR1399931
22923y09	ERS1139942	ERR1399932
22952y09	ERS1139944	ERR1399934
23146y09	ERS1139953	ERR1399943
23194y09	ERS1139954	ERR1399944
23558y09	ERS1139960	ERR1399950
23625y09	ERS1139962	ERR1399952
24043y09	ERS1139964	ERR1399954
27805Y12	ERS1139965	ERR1399955
27895Y12	ERS1139969	ERR1399959
27947Y12	ERS1139972	ERR1399962
27950Y12	ERS1139973	ERR1399963
27967Y12	ERS1139974	ERR1399964
27997Y12	ERS1139978	ERR1399968
28098Y12	ERS1139981	ERR1399971
28128Y12	ERS1139982	ERR1399972
28141Y12	ERS1139984	ERR1399974
28173Y12	ERS1139989	ERR1399979
28176Y12	ERS1139990	ERR1399980
28181Y12	ERS1139992	ERR1399982
28262Y12	ERS1139999	ERR1399989
28270Y12	ERS1140000	ERR1399990
28365Y12	ERS1140001	ERR1399991
28437Y12	ERS1140004	ERR1399994
28517Y12	ERS1140013	ERR1400003
28521Y12	ERS1140014	ERR1400004
28577Y12	ERS1140019	ERR1400009
28617Y12	ERS1140024	ERR1400014
28623Y12	ERS1140025	ERR1400015
28654Y12	ERS1140027	ERR1400017
28675Y12	ERS1140029	ERR1400019
28677Y12	ERS1140030	ERR1400020
28716Y12	ERS1140033	ERR1400023
28767Y12	ERS1140040	ERR1400030
28820Y12	ERS1140044	ERR1400034
28841Y12	ERS1140045	ERR1400035
28854Y12	ERS1140047	ERR1400037
28869Y12	ERS1140049	ERR1400039
28907Y12	ERS1140052	ERR1400042
29028Y12	ERS1140067	ERR1400057
29089Y12	ERS1140074	ERR1400064
29168Y12	ERS1140081	ERR1400071
29197Y12	ERS1140085	ERR1400075
29291Y12	ERS1140092	ERR1400082
29415Y12	ERS1140105	ERR1400095
29495Y12	ERS1140113	ERR1400103
29513Y12	ERS1140115	ERR1400105
29588Y12	ERS1140117	ERR1400107
29591Y12	ERS1140118	ERR1400108
29606Y12	ERS1140121	ERR1400110
29707Y13	ERS1140126	ERR1400115
29744Y13	ERS1140129	ERR1400118
29798Y13	ERS1140131	ERR1400120
29881Y12	ERS1140138	ERR1400126
29884Y12	ERS1140140	ERR1400128
29899Y13	ERS1140145	ERR1400132
29902Y13	ERS1140146	ERR1400133
29946Y13	ERS1140147	ERR1400134
29978y13	ERS1140149	ERR1400136
30015y13	ERS1140153	ERR1400139
30018y13	ERS1140155	ERR1400141
30148y13	ERS1140167	ERR1400152
30213y13	ERS1140178	ERR1400161
30343Y13	ERS1140182	ERR1400165
30350Y13	ERS1140185	ERR1400167
30387Y13	ERS1140189	ERR1400171
30392Y13	ERS1140192	ERR1400173
30396Y13	ERS1140193	ERR1400174
30416Y13	ERS1140196	ERR1400177
30423Y13	ERS1140199	ERR1400179
30503Y13	ERS1140203	ERR1400183
30517Y13	ERS1140205	ERR1400185
30574Y13	ERS1140213	ERR1400192
45281y09	ERS1140215	ERR1400194
45323y09	ERS1140220	ERR1400198
45438y09	ERS1140226	ERR1400204
45441y09	ERS1140227	ERR1400205
46445y09	ERS1140228	ERR1400206
46916y09	ERS1140232	ERR1400210
46977y09	ERS1140236	ERR1400214
48151y09	ERS1140248	ERR1400226
48623Y09	ERS1140254	ERR1400232
48625Y09	ERS1140255	ERR1400233
48707y09	ERS1140260	ERR1400238
48721y09	ERS1140263	ERR1400241
48748Y09	ERS1140265	ERR1400243
50048y09	ERS1140276	ERR1400254
50997y09	ERS1140296	ERR1400274
51035y09	ERS1140301	ERR1400279
51057y09	ERS1140303	ERR1400281
51067y09	ERS1140304	ERR1400282
59310Y12	ERS1140313	ERR1400291
59815Y12	ERS1140322	ERR1400300
60051Y12	ERS1140325	ERR1400303
60155Y12	ERS1140329	ERR1400307
60185Y12	ERS1140332	ERR1400310
60299Y12	ERS1140340	ERR1400318
61200Y12	ERS1140361	ERR1400339
61232Y12	ERS1140364	ERR1400342
61259Y12	ERS1140365	ERR1400343
61266Y12	ERS1140366	ERR1400344
61642Y12	ERS1140371	ERR1400349
61960Y12	ERS1140377	ERR1400355
61978Y12	ERS1140380	ERR1400358
61981Y12	ERS1140381	ERR1400359
62149Y12	ERS1140385	ERR1400363
62422Y12	ERS1140392	ERR1400370
63056Y12	ERS1140416	ERR1400394
63247Y12	ERS1140438	ERR1400416
63433Y12	ERS1140439	ERR1400417
63469Y13	ERS1140443	ERR1400421
63953Y13	ERS1140462	ERR1400440
63976Y12	ERS1140466	ERR1400444
63996Y12	ERS1140468	ERR1400446
64022Y12	ERS1140470	ERR1400448
64026Y12	ERS1140471	ERR1400449
64089Y13	ERS1140474	ERR1400452
64311Y13	ERS1140481	ERR1400459
64415Y13	ERS1140485	ERR1400463
64635y12	ERS1140496	ERR1400474
64742y13	ERS1140508	ERR1400486
64821Y13	ERS1140511	ERR1400489
64843Y13	ERS1140513	ERR1400491
65154Y13	ERS1140531	ERR1400509
65157Y13	ERS1140532	ERR1400510
65161Y13	ERS1140534	ERR1400512
65401Y13	ERS1140540	ERR1400518
65636Y13	ERS1140545	ERR1400523
65650Y13	ERS1140550	ERR1400528
65651Y13	ERS1140551	ERR1400529
65668Y13	ERS1140552	ERR1400530
65795y13	ERS1140566	ERR1400544
65991Y13	ERS1140574	ERR1400552
66015Y13	ERS1140579	ERR1400557
66038Y13	ERS1140586	ERR1400564
66094y13	ERS1140594	ERR1400572
66227y13	ERS1140596	ERR1400574
66265Y13	ERS1140603	ERR1400581
66396Y13	ERS1140606	ERR1400584
66434Y13	ERS1140607	ERR1400585
66694Y13	ERS1140612	ERR1400590
66730Y13	ERS1140617	ERR1400595
67022Y13	ERS1140622	ERR1400600
67026Y13	ERS1140623	ERR1400601
67033Y13	ERS1140624	ERR1400602
69469Y13	ERS1140641	ERR1400619
1086	ERS1139790	ERR1399780
20440y09	ERS1139793	ERR1399783
20527y09	ERS1139795	ERR1399785
20548y09	ERS1139796	ERR1399786
20553y09	ERS1139797	ERR1399787
20619y09	ERS1139798	ERR1399788
20624y09	ERS1139799	ERR1399789
20690Y09	ERS1139805	ERR1399795
20693y09	ERS1139806	ERR1399796
20796y09	ERS1139808	ERR1399798
20842Y09	ERS1139811	ERR1399801
20934Y09	ERS1139812	ERR1399802
20956Y09	ERS1139813	ERR1399803
20983Y09	ERS1139815	ERR1399805
21017Y09	ERS1139816	ERR1399806
21036y09	ERS1139818	ERR1399808
21117Y09	ERS1139822	ERR1399812
21171Y09	ERS1139827	ERR1399817
21175Y09	ERS1139828	ERR1399818
21203y09	ERS1139829	ERR1399819
21209y09	ERS1139830	ERR1399820
21225y09	ERS1139831	ERR1399821
21237Y09	ERS1139834	ERR1399824
21297Y09	ERS1139838	ERR1399828
21447y09	ERS1139849	ERR1399839
21461Y09	ERS1139852	ERR1399842
21512Y09	ERS1139853	ERR1399843
21514Y09	ERS1139854	ERR1399844
21526Y09	ERS1139856	ERR1399846
21673Y09	ERS1139860	ERR1399850
21700Y09	ERS1139862	ERR1399852
21704Y09	ERS1139863	ERR1399853
21750y09	ERS1139868	ERR1399858
21762Y09	ERS1139870	ERR1399860
21770Y09	ERS1139871	ERR1399861
21819Y09	ERS1139874	ERR1399864
21931Y09	ERS1139885	ERR1399875
21947y09	ERS1139886	ERR1399876
22013Y09	ERS1139888	ERR1399878
22072y09	ERS1139892	ERR1399882
22135Y09	ERS1139894	ERR1399884
22189y09	ERS1139901	ERR1399891
22218y09	ERS1139902	ERR1399892
22221y09	ERS1139903	ERR1399893
22224y09	ERS1139904	ERR1399894
22260y09	ERS1139907	ERR1399897
22277y09	ERS1139908	ERR1399898
22299y09	ERS1139909	ERR1399899
22318y09	ERS1139910	ERR1399900
22388y09	ERS1139915	ERR1399905
22478y09	ERS1139917	ERR1399907
22557y09	ERS1139919	ERR1399909
22599y09	ERS1139922	ERR1399912
22712y09	ERS1139931	ERR1399921
22765y09	ERS1139934	ERR1399924
22875y09	ERS1139938	ERR1399928
22891y09	ERS1139939	ERR1399929
22955y09	ERS1139945	ERR1399935
23081y09	ERS1139947	ERR1399937
23117y09	ERS1139950	ERR1399940
23124y09	ERS1139951	ERR1399941
23128y09	ERS1139952	ERR1399942
23540y09	ERS1139956	ERR1399946
27893Y12	ERS1139968	ERR1399958
28096Y12	ERS1139980	ERR1399970
28183Y12	ERS1139993	ERR1399983
28226Y12	ERS1139995	ERR1399985
28376Y12	ERS1140002	ERR1399992
28457Y12	ERS1140007	ERR1399997
28474Y12	ERS1140008	ERR1399998
28503Y12	ERS1140012	ERR1400002
28535Y12	ERS1140016	ERR1400006
28628Y12	ERS1140026	ERR1400016
28666Y12	ERS1140028	ERR1400018
28730Y12	ERS1140036	ERR1400026
28773Y12	ERS1140041	ERR1400031
28849Y12	ERS1140046	ERR1400036
28856Y12	ERS1140048	ERR1400038
28896Y12	ERS1140051	ERR1400041
28984Y12	ERS1140059	ERR1400049
28996Y12	ERS1140060	ERR1400050
29011Y12	ERS1140064	ERR1400054
29035Y12	ERS1140069	ERR1400059
29054Y12	ERS1140070	ERR1400060
29063Y12	ERS1140071	ERR1400061
29068Y12	ERS1140072	ERR1400062
29136Y12	ERS1140079	ERR1400069
29160Y12	ERS1140080	ERR1400070
29189Y12	ERS1140083	ERR1400073
29192Y12	ERS1140084	ERR1400074
29215Y12	ERS1140087	ERR1400077
29353Y12	ERS1140096	ERR1400086
29377Y12	ERS1140098	ERR1400088
29381Y12	ERS1140099	ERR1400089
29440Y12	ERS1140107	ERR1400097
29492Y12	ERS1140112	ERR1400102
29818Y13	ERS1140132	ERR1400121
29890Y13	ERS1140141	ERR1400129
29952y13	ERS1140148	ERR1400135
30037Y13	ERS1140157	ERR1400143
30174y13	ERS1140174	ERR1400158
30258y13	ERS1140179	ERR1400162
30361Y13	ERS1140186	ERR1400168
30391Y13	ERS1140191	ERR1400172
30407Y13	ERS1140194	ERR1400175
30422Y13	ERS1140197	ERR1400178
30540Y13	ERS1140208	ERR1400187
45289y09	ERS1140218	ERR1400196
45367y09	ERS1140222	ERR1400200
45373Y09	ERS1140223	ERR1400201
45432y09	ERS1140225	ERR1400203
46644y09	ERS1140231	ERR1400209
46929y09	ERS1140234	ERR1400212
46979y09	ERS1140237	ERR1400215
47520y09	ERS1140244	ERR1400222
48164y09	ERS1140249	ERR1400227
48169y09	ERS1140250	ERR1400228
48631Y09	ERS1140256	ERR1400234
48649Y09	ERS1140258	ERR1400236
48715y09	ERS1140262	ERR1400240
48909y09	ERS1140268	ERR1400246
48931y09	ERS1140269	ERR1400247
49754y09	ERS1140274	ERR1400252
50185y09	ERS1140285	ERR1400263
50348y09	ERS1140286	ERR1400264
50447y09	ERS1140287	ERR1400265
50453y09	ERS1140288	ERR1400266
50520y09	ERS1140290	ERR1400268
50927y09	ERS1140292	ERR1400270
50965y09	ERS1140294	ERR1400272
50971y09	ERS1140295	ERR1400273
51016y09	ERS1140297	ERR1400275
51021y09	ERS1140298	ERR1400276
51027y09	ERS1140299	ERR1400277
51040y09	ERS1140302	ERR1400280
58680Y12	ERS1140306	ERR1400284
58681Y12	ERS1140307	ERR1400285
58690Y12	ERS1140308	ERR1400286
59282Y12	ERS1140311	ERR1400289
59456Y12	ERS1140315	ERR1400293
59458Y12	ERS1140316	ERR1400294
59462Y12	ERS1140317	ERR1400295
60186Y12	ERS1140333	ERR1400311
60189Y12	ERS1140336	ERR1400314
60546Y12	ERS1140344	ERR1400322
60557Y12	ERS1140346	ERR1400324
60559Y12	ERS1140348	ERR1400326
60577Y12	ERS1140351	ERR1400329
60748Y12	ERS1140355	ERR1400333
61031Y12	ERS1140356	ERR1400334
61524Y12	ERS1140369	ERR1400347
61935Y12	ERS1140372	ERR1400350
61938Y12	ERS1140373	ERR1400351
61968Y12	ERS1140379	ERR1400357
62252Y12	ERS1140388	ERR1400366
62258Y12	ERS1140389	ERR1400367
62528Y12	ERS1140400	ERR1400378
62619Y12	ERS1140402	ERR1400380
62622Y12	ERS1140403	ERR1400381
63066Y12	ERS1140418	ERR1400396
63235Y12	ERS1140436	ERR1400414
63473Y13	ERS1140444	ERR1400422
63499Y12	ERS1140445	ERR1400423
63507Y12	ERS1140447	ERR1400425
63516Y12	ERS1140449	ERR1400427
63633Y13	ERS1140455	ERR1400433
63913Y12	ERS1140457	ERR1400435
63925Y12	ERS1140459	ERR1400437
63955Y13	ERS1140463	ERR1400441
64034Y12	ERS1140472	ERR1400450
64163Y13	ERS1140475	ERR1400453
64405Y13	ERS1140484	ERR1400462
64442y13	ERS1140490	ERR1400468
64645y12	ERS1140497	ERR1400475
64667y13	ERS1140500	ERR1400478
64686y13	ERS1140502	ERR1400480
64693y13	ERS1140503	ERR1400481
64695y13	ERS1140504	ERR1400482
64852Y13	ERS1140515	ERR1400493
64876Y13	ERS1140518	ERR1400496
65173Y13	ERS1140535	ERR1400513
65395Y13	ERS1140539	ERR1400517
65425Y13	ERS1140542	ERR1400520
65503Y13	ERS1140544	ERR1400522
65639Y13	ERS1140546	ERR1400524
65645Y13	ERS1140548	ERR1400526
65672Y13	ERS1140553	ERR1400531
65684Y13	ERS1140556	ERR1400534
65694Y13	ERS1140557	ERR1400535
65711Y13	ERS1140559	ERR1400537
65780y13	ERS1140562	ERR1400540
65995Y13	ERS1140575	ERR1400553
66022Y13	ERS1140580	ERR1400558
66033Y13	ERS1140584	ERR1400562
66091y13	ERS1140593	ERR1400571
66222y13	ERS1140595	ERR1400573
66700Y13	ERS1140614	ERR1400592
66868Y13	ERS1140620	ERR1400598
66927Y13	ERS1140621	ERR1400599
67036Y13	ERS1140625	ERR1400603
67043Y13	ERS1140626	ERR1400604
67057Y13	ERS1140627	ERR1400605
67087Y13	ERS1140628	ERR1400606
67154Y13	ERS1140631	ERR1400609
67165Y13	ERS1140632	ERR1400610
67271Y13	ERS1140635	ERR1400613
69458Y13	ERS1140638	ERR1400616
20643Y09	ERS1139801	ERR1399791
20679Y09	ERS1139803	ERR1399793
20681Y09	ERS1139804	ERR1399794
20709y09	ERS1139807	ERR1399797
20829y09	ERS1139809	ERR1399799
21123Y09	ERS1139823	ERR1399813
21140Y09	ERS1139824	ERR1399814
21143Y09	ERS1139825	ERR1399815
21261Y09	ERS1139836	ERR1399826
21326Y09	ERS1139841	ERR1399831
21382Y09	ERS1139844	ERR1399834
21405Y09	ERS1139845	ERR1399835
21441y09	ERS1139848	ERR1399838
21449y09	ERS1139850	ERR1399840
21518Y09	ERS1139855	ERR1399845
21755y09	ERS1139869	ERR1399859
21830y09	ERS1139875	ERR1399865
21842y09	ERS1139876	ERR1399866
21871y09	ERS1139878	ERR1399868
21905Y09	ERS1139884	ERR1399874
22014Y09	ERS1139889	ERR1399879
22031Y09	ERS1139890	ERR1399880
22104Y09	ERS1139893	ERR1399883
22163Y09	ERS1139897	ERR1399887
22594y09	ERS1139921	ERR1399911
22697y09	ERS1139929	ERR1399919
22906y09	ERS1139940	ERR1399930
23049y09	ERS1139946	ERR1399936
23114y09	ERS1139949	ERR1399939
23203y09	ERS1139955	ERR1399945
23556y09	ERS1139959	ERR1399949
27862Y12	ERS1139966	ERR1399956
27942Y12	ERS1139971	ERR1399961
